ID,sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
191,,PROD,,Y0NMM_ZAR0043,,4,Jan,102,,0.051
192,,PROD,,Y0NMM_ZAR0210,,3,Jan,2155,,1.0775
193,,PROD,,Y0NMM_ZAR0220,,7,Jan,9663,,4.8315
194,,PROD,,Y0NMM_ZAR0230,,1,Jan,6723,,3.3615
195,,PROD,,Y0NMM_ZAR0233,,2,Jan,33,,0.0165
196,,PROD,,Y0NPR_0001,,1,Jan,307,,0.1535
197,,PROD,,Y0NPR_0002,,1,Jan,795,,0.3975
198,,PROD,,Y0NPR_0003,,1,Jan,2,,0.001
199,,PROD,,Y0NPR_0013,,1,Jan,307,,0.1535
200,,PROD,,Y0NPR_0014,,1,Jan,43,,0.0215
201,,PROD,,Y0NSD_0012,,1,Jan,28958,,14.479
202,,PROD,,Y0NSD_0013,,1,Jan,1,,0.0005
203,,PROD,,Y0NSD_0014,,1,Jan,2,,0.001
204,,PROD,,Y0NSD_0016,,1,Jan,13128,,6.564
205,,PROD,,Y0NSD_0017,,1,Jan,4965,,2.4825
206,,PROD,,Y0NSD_0019,,1,Jan,6,,0.003
207,,PROD,,Y0NSD_0029,,1,Jan,6989,,3.4945
208,,PROD,,Y0NSD_0030,,1,Jan,31,,0.0155
209,,PROD,,Y0NSD_0031,,1,Jan,1,,0.0005
210,,PROD,,Y0NSD_0032,,1,Jan,9,,0.0045
211,,PROD,,Y0NSD_0040,,1,Jan,655,,0.3275
212,,PROD,,Y0NSD_0041,,1,Jan,296939,,148.4695
213,,PROD,,Y0NSD_0043,,1,Jan,21,,0.0105
214,,PROD,,Y0NSD_0047,,1,Jan,4694,,2.347
215,,PROD,,Y0NSD_0051,,1,Jan,19629,,9.8145
216,,PROD,,Y0NSD_0055,,1,Jan,214,,0.107
217,,PROD,,Y0NSD_0056,,1,Jan,3,,0.0015
218,,PROD,,Y0NSD_0060,,1,Jan,106,,0.053
219,,PROD,,Y0NSD_0063,,1,Jan,102,,0.051
220,,PROD,,Y0NSD_0065,,1,Jan,6797,,3.3985
221,,PROD,,Y0NSD_0066,,1,Jan,48,,0.024
222,,PROD,,Y0NSD_0069,,1,Jan,4,,0.002
223,,PROD,,Y0NSD_0071,,1,Jan,1,,0.0005
224,,PROD,,Y0NSD_0072,,1,Jan,8750,,4.375
225,,PROD,,Y0NSD_0077,,1,Jan,15572,,7.786
226,,PROD,,Y0NSD_0079,,1,Jan,3,,0.0015
227,,PROD,,Y0NSD_0080,,1,Jan,24,,0.012
228,,PROD,,Y0NSD_0081,,1,Jan,87,,0.0435
229,,PROD,,Y0NSD_0085,,1,Jan,3,,0.0015
230,,PROD,,Y0NSD_0086,,1,Jan,156,,0.078
231,,PROD,,Y0NSD_0102,,1,Jan,12,,0.006
232,,PROD,,Y0NSD_0120,,1,Jan,15,,0.0075
233,,PROD,,Y0NSD_0203,,1,Jan,103340,,51.67
234,,PROD,,Y0NSD_0216,,1,Jan,631,,0.3155
235,,PROD,,Y0NSD_0220,,1,Jan,6,,0.003
236,,PROD,,Y0NSD_0223,,1,Jan,614,,0.307
237,,PROD,,Y0NSD_0229,,1,Jan,302,,0.151
238,,PROD,,Y0NSD_0233,,1,Jan,3702,,1.851
239,,PROD,,Y0NSD_0234,,1,Jan,258,,0.129
240,,PROD,,Y0NSD_0235,,1,Jan,17,,0.0085
241,,PROD,,Y0NSD_0236,,1,Jan,12,,0.006
242,,PROD,,Y0NSD_0240,,1,Jan,5,,0.0025
243,,PROD,,Y0NSD_SD70AV1A,,1,Jan,1002,,0.501
244,,PROD,,Y0NSD_ZAB0001,,4,Jan,2332,,1.166
245,,PROD,,Y0NSD_ZAB0007,,7,Jan,34,,0.017
246,,PROD,,Y0NSD_ZAB0008,,1,Jan,99,,0.0495
247,,PROD,,Y0NSD_ZAB0201,,2,Jan,899,,0.4495
248,,PROD,,Y0NSD_ZAB0202,,4,Jan,729998,,364.999
249,,PROD,,Y0NSD_ZAB0205,,1,Jan,267,,0.1335
250,,PROD,,Y0NSD_ZAB0206,,1,Jan,133,,0.0665
251,,PROD,,Y0NSD_ZAB0207,,1,Jan,81,,0.0405
252,,PROD,,Y0NSD_ZAD0036,,1,Jan,43,,0.0215
253,,PROD,,Y0NSD_ZAO0001,,11,Jan,7560,,3.78
254,,PROD,,Y0NSD_ZAO0002,,5,Jan,2,,0.001
255,,PROD,,Y0NSD_ZAO0005,,6,Jan,31133,,15.5665
256,,PROD,,Y0NSD_ZAO0009,,44,Jan,30361,,15.1805
257,,PROD,,Y0NSD_ZAO0011,,7,Jan,54623,,27.3115
258,,PROD,,Y0NSD_ZAO0012,,1,Jan,38,,0.019
259,,PROD,,Y0NSD_ZAO0020,,7,Jan,828,,0.414
260,,PROD,,Y0NSD_ZAO0021,,24,Jan,4092,,2.046
