sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
,PROD,,ZSNDS_ZAR0023,,1,Jan,9,,
,PROD,,ZSNDS_ZAR0046,,1,Jan,1,,
,PROD,,ZSNDS_ZAR0048,,2,Jan,2,,
,PROD,,ZSNFI_0005,,1,Jan,6,,
,PROD,,ZSNFI_0016,,1,Jan,6,,
,PROD,,ZSNFI_0021,,1,Jan,15,,
,PROD,,ZSNFI_0023,,1,Jan,38,,
,PROD,,ZSNFI_0024,,1,Jan,1,,
,PROD,,ZSNFI_0036,,1,Jan,176,,
,PROD,,ZSNFI_0038,,1,Jan,252,,
,PROD,,ZSNFI_0047,,1,Jan,2291,,
,PROD,,ZSNFI_0050,,1,Jan,5632,,
,PROD,,ZSNFI_0053,,1,Jan,495,,
,PROD,,ZSNFI_0054,,1,Jan,3,,
,PROD,,ZSNFI_0055,,1,Jan,8,,
,PROD,,ZSNFI_0056,,1,Jan,8,,
,PROD,,ZSNFI_0060,,1,Jan,690,,
,PROD,,ZSNFI_0061,,1,Jan,11379,,
,PROD,,ZSNFI_0062,,1,Jan,373,,
,PROD,,ZSNFI_0063,,1,Jan,16,,
,PROD,,ZSNFI_0064,,1,Jan,597,,
,PROD,,ZSNFI_0065,,1,Jan,109,,
,PROD,,ZSNFI_0066,,1,Jan,157,,
,PROD,,ZSNFI_0067,,1,Jan,98,,
,PROD,,ZSNFI_0068,,1,Jan,2354,,
,PROD,,ZSNFI_0074,,1,Jan,871,,
,PROD,,ZSNFI_0076,,1,Jan,4,,
,PROD,,ZSNFI_0077,,1,Jan,26,,
